Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4165869,9600.0,5.02,850,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
CHEMBL4166974,25100.0,4.6,821,Cc1ccc2[nH]cc(CN3CCC(NC(=O)[C@@H](N)Cc4c[nH]c5ccccc45)CC3)c2c1
CHEMBL4167406,15100.0,4.82,766,COc1ccc2c(C[C@H](N)C(=O)NC3CCN(Cc4c[nH]c5ccc(Cl)cc45)CC3)c[nH]c2c1
CHEMBL4167713,1600.0,5.8,650,N[C@@H](Cc1c[nH]c2ccc(Cl)cc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
CHEMBL4168133,800.0,6.1,63,N[C@@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12
CHEMBL4170697,2900.0,5.54,846,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC2(CC1)CCN2Cc1c[nH]c2ccc(Cl)cc12
CHEMBL4170802,11200.0,4.95,719,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(C(F)(F)F)cc23)CC1
CHEMBL4171085,13300.0,4.88,11,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
CHEMBL4172148,6700.0,5.17,74,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CC2CN(Cc3c[nH]c4ccc(Cl)cc34)CC2C1
CHEMBL4172582,800.0,6.1,730,Cc1ccc2c(C[C@H](N)C(=O)N3CCC4(CC3)CCN4Cc3c[nH]c4ccc(Cl)cc34)c[nH]c2c1
CHEMBL4172730,6100.0,5.21,839,N[C@@H](Cc1c[nH]c2cc(C(F)(F)F)ccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
CHEMBL4174221,15900.0,4.8,28,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(F)cc23)CC1
CHEMBL4175280,7800.0,5.11,69,N[C@@H](Cc1c[nH]c2ccc(C(F)(F)F)cc12)C(=O)NC1CCN(Cc2c[nH]c3ccc(Cl)cc23)CC1
